"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\cardWrapper.js", "JavaScript", 57, 0, 0, 3, 8, 68
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardBack.js", "JavaScript", 23, 0, 0, 0, 4, 27
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFace\buttonEditCard\buttonEditCard.js", "JavaScript", 8, 0, 0, 0, 3, 11
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFace\buttonRemoveCard\buttonRemoveCard.js", "JavaScript", 7, 0, 0, 0, 3, 10
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFace\cardFace.js", "JavaScript", 56, 0, 0, 0, 13, 69
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFace\cardQuerries\cardQuerries.js", "JavaScript", 68, 0, 0, 1, 10, 79
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFace\fieldEditCardText\fieldCardName\fieldCardName.js", "JavaScript", 8, 0, 0, 0, 1, 9
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFace\fieldEditCardText\fieldEditCardText.js", "JavaScript", 26, 0, 0, 0, 7, 33
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardWrapper\card\cardFront.js", "JavaScript", 25, 0, 0, 0, 4, 29
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\cardsSection\cardsSection.js", "JavaScript", 30, 0, 0, 0, 6, 36
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\contentSection.js", "JavaScript", 35, 0, 0, 0, 8, 43
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\editDeckNameSection\buttonCancelEditDeckName\buttonCancelEditDeckName.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\editDeckNameSection\buttonDoneEditDeckName\buttonDoneEditDeckName.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\editDeckNameSection\editDeckNameSection.js", "JavaScript", 54, 0, 0, 5, 11, 70
"c:\Users\virla\Desktop\repos\Flash-Cards\src\contentSection\editDeckNameSection\fieldDeckName\fieldDeckName.js", "JavaScript", 39, 0, 0, 0, 9, 48
"c:\Users\virla\Desktop\repos\Flash-Cards\src\footerSection\buttonAddFlashCard\buttonAddFlashCard.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\virla\Desktop\repos\Flash-Cards\src\footerSection\footerSection.js", "JavaScript", 28, 0, 0, 0, 7, 35
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\buttonAddDeck\buttonAddDeck.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\buttonOpenDeck\Red_X.svg", "XML", 0, 0, 22, 1, 1, 24
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\buttonOpenDeck\buttonOpenDeck.js", "JavaScript", 52, 0, 0, 0, 11, 63
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\buttonRemoveDecks\buttonRemoveDecks.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\buttonSelectDecks\buttonSelectDecks.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\deckNameQuerries\deckNameQuerries.js", "JavaScript", 29, 0, 0, 0, 6, 35
"c:\Users\virla\Desktop\repos\Flash-Cards\src\headerSection\headerSection.js", "JavaScript", 135, 0, 0, 0, 18, 153
"c:\Users\virla\Desktop\repos\Flash-Cards\src\index.js", "JavaScript", 48, 0, 0, 0, 8, 56
"c:\Users\virla\Desktop\repos\Flash-Cards\src\reset.css", "CSS", 0, 42, 0, 5, 1, 48
"c:\Users\virla\Desktop\repos\Flash-Cards\src\style.css", "CSS", 0, 168, 0, 2, 30, 200
"Total", "-", 764, 210, 22, 17, 177, 1190
